,exp_iter,caipi_iter,state,fp_rate,fn_rates,precision,recall,accuracy,corr_ces_pos,corr_ces_neg,labeled_size,unlabeled_size
0,1,1,W,0.37327188940092165,0.5355029585798816,0.6079380445304937,0.46449704142011833,0.5367254821501847,0.0,0.0,11,5686
1,1,2,W,0.5990783410138248,0.3128698224852071,0.5883470550981634,0.6871301775147929,0.5597045547804678,0.027777777777777776,0.0,12,5685
2,1,3,W,0.7576036866359447,0.21153846153846154,0.5646186440677966,0.7884615384615384,0.5453426343865408,0.13095238095238096,0.0,13,5684
3,1,4,RWR,0.7050691244239631,0.15458579881656806,0.5990566037735849,0.8454142011834319,0.600328272466147,0.05128205128205128,0.0,17,5683
4,1,5,W,0.6230414746543779,0.2522189349112426,0.5992886781268524,0.7477810650887574,0.582683627410751,0.08955223880597014,0.030303030303030304,18,5682
5,1,6,RWR,0.6506912442396313,0.22411242603550297,0.5977207977207977,0.775887573964497,0.5859663520722199,0.07462686567164178,0.0,22,5681
6,1,7,W,0.528110599078341,0.3047337278106509,0.62128222075347,0.6952662721893491,0.595814526056627,0.13432835820895522,0.0,23,5680
7,1,8,RWR,0.5152073732718894,0.26701183431952663,0.6393548387096775,0.7329881656804734,0.6224866639310628,0.3013698630136986,0.0,27,5679
8,1,9,W,0.4976958525345622,0.22633136094674555,0.6595208070617906,0.7736686390532544,0.6528518670496513,0.1,0.03333333333333333,28,5678
9,1,10,W,0.5271889400921659,0.20931952662721892,0.6514320536258379,0.790680473372781,0.6491588018054986,0.2564102564102564,0.0,29,5677
10,1,11,W,0.5741935483870968,0.1752958579881657,0.6415420023014959,0.8247041420118343,0.6471070988920804,0.2876712328767123,0.0,30,5676
11,1,12,RWR,0.5880184331797235,0.09911242603550297,0.65625,0.900887573964497,0.6832170701682396,0.18309859154929578,0.0,34,5675
12,1,13,RWR,0.5511520737327189,0.09689349112426035,0.6712479384277076,0.9031065088757396,0.7008617152236356,0.19444444444444445,0.0,38,5674
